1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Time,total
-6.87558,-6.363735,29.418405,9.414224,-11.8565,-27.839233,-50,-50,47.91666665,7.9445,25.6687966,-17.95977,-50,-13.3971,9.09168195,-12.690982,9.09466095,-5.8779275,-5.93609955,-50,46.3414634,47.91666665,31.8481165,-50,29.3560605,-8.177185,-50,-50,47.91666665,47.91666665,25.815,9.2478205,6.6559855,-5.5724615,-50,47.91666665,12.0732255,17.174615,9.072,47.91666665,47.91666665,-50,47.91666665,47.91666665,47.91666665,47.91666665,-9.05797,47.91666665,47.1947155,-42.741465,-9.3390805,-50,47.91666665,-6.643907,-8.8276835,-5.8077134,45.73125,-50,8.1728985,6.343183,47.1947155,6.6287879,-8.571963,-17.95977,22.7182895,47.1947155,-50,-43.76755,40.885795,41.42992425,42.2598285,44.921875,47.13114755,32.111,47.6091476,47.91666665,-17.57,6.329085,9.074968,-50,-13.89646775,9.4935885,-50,14.457865,26.112381,-6.9479978,47.7923755,-9.4772255,-7.4825984,-50,-12.7426735,47.3676745,-8.8276835,5.00E-07,8.82664375,47.7460915,-7.462,-50,25.6687966,47.91666665,0:30:00,607.6929759
-5.1899237,36.92091334,28.49122282,8.26497582,15.91460808,-12.08967668,-39.97079564,-40,40.02175995,8.77008741,23.72199053,34.10645889,-39.19400034,-4.21067811,7.15496625,-4.39640576,7.95678418,-34.60941832,-34.23441702,-39.92355164,38.54799154,40.06989636,34.85714926,-38.8077401,8.02512271,35.75850054,-39.39400239,-38.85449567,40.60294486,39.18386466,-8.76908149,7.76340506,6.67119951,-4.16630802,-40,34.30862917,35.80273947,15.58538392,9.78202292,39.86345975,39.19819111,-38.98635287,39.66539243,39.78200078,39.30198733,39.89954342,37.53000638,39.18353178,38.87624423,-15.20078233,12.84683438,-38.96081757,39.19561759,-29.94445599,-33.57623991,-4.42572696,37.14639122,-39.15688087,6.33392368,19.38160302,39.62458103,14.99146253,-37.4102107,-14.25894525,18.25115259,34.66805567,-16.25056024,-16.00597222,4.28958366,34.3910466,35.03254881,38.18658276,17.9609115,-28.67269251,39.36292859,39.8442672,-6.00766931,14.31095526,7.69228853,-38.8291196,26.05961716,29.81528155,-39.01305029,45.24148662,36.09977888,-8.19641865,12.78450083,14.01347085,-3.80230413,-39.83524621,-3.88385804,5.73180018,-33.6408685,0.96343707,9.05498377,38.27223653,-13.52868725,-39.03885192,23.72199053,39.19561783,1:00:00,683.6117047
-11.48055759,38.03670485,36.92340548,11.00240274,22.80927328,-15.85976771,39.4736488,39.44444444,40.29953771,7.16834535,27.90032253,21.92142449,40.2504441,-33.15190171,13.09532511,-10.98737802,11.06979804,-19.76396823,-14.45409168,39.5208928,37.97326702,40.34767412,36.6176857,40.63670434,9.26099767,38.35233614,40.05044205,40.58994877,40.88072262,39.46164242,-17.87022674,10.07352918,7.59915991,-31.55663065,39.44444444,38.02033557,7.46058067,36.91921621,34.4157114,40.14123751,-39.96847557,40.45809157,39.94317019,40.05977854,39.57976509,-39.26712326,38.13437758,-39.9831349,34.69441959,-8.75461433,10.02128038,40.48362687,14.99143571,-32.9574367,-33.37251591,-35.40978079,39.59672038,40.28756357,6.6381126,-14.66741635,40.26334559,16.09896761,-37.97891825,-8.95540925,19.70337487,31.85245972,-10.46240424,-10.21781622,-21.44395588,32.04486776,36.87823067,0.28312516,31.7711895,-5.71841376,39.20528179,40.12204496,-7.69642931,22.91571966,11.24401868,40.61532484,15.72932263,33.91244355,40.43139415,22.2947207,15.15804348,-16.4045569,9.9640709,29.52531725,-11.50818067,39.60919823,-10.47017044,9.79665692,-33.4371445,0.96343707,-5.08050143,38.15114733,13.31647829,40.40559252,27.90032253,14.99162008,1:30:00,1488.318743
-8.76313909,39.28024273,30.14136,-18.21419019,16.95518292,-8.25216348,-39.97079564,-40,40.43842659,10.31763272,28.78280293,32.18547489,-39.19400034,-24.46118971,-3.35298144,-22.36277047,-18.06924668,-4.40008351,12.03261061,-39.92355164,38.47528078,40.486563,37.0518957,-38.8077401,10.06168095,35.91303739,-39.39400239,-38.85449567,41.0196115,37.05068121,-7.98408874,-28.8623164,7.91858211,-28.75621344,-40,37.50129369,33.87560427,28.48993728,20.18310596,40.28012639,39.61485775,-38.98635287,40.08205907,40.19866742,39.71865397,40.31621006,38.16536862,39.60019842,34.87868039,-6.00393964,10.48345238,-38.96081757,38.29014887,-17.3690043,-1.89898154,-36.31957021,38.64731533,-39.15688087,6.78277688,-13.21234427,40.19974279,14.39386346,-30.45915019,-6.19122379,23.27539487,35.78221035,-7.94264424,-7.69805622,0.17146395,32.7264654,38.40760027,39.21778716,34.5328651,37.35081189,39.82736579,40.26093384,-7.67792011,20.57005921,-23.6703191,-38.8291196,25.40236731,30.90268835,-39.01305029,17.39109312,32.0057875,-3.26838145,13.62165121,38.58973205,34.28248923,-39.83524621,-18.37647801,27.89564179,-24.7464325,0.96343707,-6.39660186,39.32765891,-5.02750927,-39.03885192,28.78280293,38.29015528,2:00:00,769.6897467
-19.27682238,40.05971402,28.87414909,7.65008151,16.98471828,-6.85692628,39.69587104,-40,40.52175995,7.82650518,28.96243081,23.13886689,40.47266634,-21.72990171,8.82877037,-17.0182089,7.60895198,22.91899898,8.11670438,-39.92355164,38.78199862,40.56989636,37.5342785,-38.8077401,9.72706815,36.79614406,-39.39400239,-38.85449567,41.10294486,38.10208358,-9.41010019,6.50088899,34.69166856,-28.47399962,-40,38.07631997,36.14595027,5.97334285,26.70714901,40.36345975,39.69819111,-38.98635287,40.16539243,40.28200078,39.80198733,40.39954342,38.21760934,39.68353178,34.99627559,-4.72024364,9.61686078,-21.64881757,38.40884415,-8.16966657,-6.43831591,1.69164695,39.45224013,40.50978581,6.86992472,-2.16523442,40.31249943,13.30028605,-25.95696535,-9.92557725,20.70829727,36.69177275,-5.89892824,-5.65434022,-4.90568206,32.95772401,38.31582667,-6.45031924,35.29291906,17.56364566,39.57144539,-39.32239948,-6.61117051,18.15811841,6.93143757,40.83754708,25.81662211,37.91718035,40.65361639,-30.46158075,15.74679605,-13.03304642,11.66415914,38.62274605,22.41848433,39.83142047,-6.38035695,16.13288621,-33.2207005,0.96343707,-3.95652463,37.99412613,-29.4750162,-39.03885192,28.96243081,38.40883975,2:30:00,1216.135641
-2.03079345,40.36676438,19.1111872,8.04987585,16.78271596,-18.67113881,39.77142676,39.7422224,40.59731567,19.20356475,29.43799617,23.07862564,40.54822206,-15.89452971,9.24924676,1.51216285,8.24973611,-11.12290843,-9.25681688,39.81867076,38.76747026,40.64545208,37.3402589,40.9344823,10.05954527,36.97972274,40.34822001,40.88772673,41.17850058,41.04885369,-35.10714949,6.14220621,38.34904498,-16.34260592,39.7422224,37.91034011,-38.72639533,23.10049799,25.53757078,40.43901547,-39.96847557,40.75586953,40.24094815,40.3575565,30.73618271,-39.26712326,38.24446598,-39.9831349,35.06428063,-3.866565,9.7347951,-15.81344557,38.61431699,-6.49550224,30.82479329,-13.56804051,39.46445988,40.58534153,6.9295614,0.03008505,40.50409199,17.98105869,-21.08066375,29.86387475,17.00512407,39.50792412,-4.95708424,-4.71249622,3.96384178,35.48264521,37.90430618,-5.80233924,33.85244018,19.27484339,39.69106283,40.41982292,-5.32764971,17.05591046,7.31567681,40.9131028,27.76147867,37.49577675,40.72917211,-4.92288831,31.47758533,-8.52902741,10.8307554,6.27249605,6.17798311,39.90697619,34.55832789,16.12724164,-38.8705445,0.96343707,24.98475448,37.39914767,19.93958091,40.70337048,29.43799617,38.61432715,3:00:00,1810.312335
-0.98544719,40.48168382,25.47491219,6.28602749,15.88206216,-23.15313841,-39.97079564,-40,40.63414087,43.24273839,29.74820333,21.28652124,-39.19400034,-13.66446171,6.70637122,-8.45667004,6.37783925,-5.9532157,-32.42013168,39.85549596,38.94921302,40.68227728,37.4032589,-38.8077401,10.28812307,36.57501454,-39.39400239,-38.85449567,41.21532578,37.74718798,-4.65342419,37.67818853,36.71501717,-11.18923942,-40,37.14737007,14.58028467,17.46015077,22.4790369,40.47584067,-39.96847557,40.79269473,40.27777335,40.3943817,38.68125391,-39.26712326,38.2588803,-39.9831349,35.11355799,-3.032945,9.81825494,-13.58337757,38.73346235,16.78170517,31.03474069,-11.49770023,39.58908328,-39.15688087,7.1947814,22.1784338,40.44469731,18.75887229,-17.74737558,28.98419875,17.44867967,36.81251315,-18.41816024,-3.71685622,2.01280865,39.97616281,38.0816129,-4.63487124,33.57535418,18.89850007,0.29629019,40.45664812,-4.41782171,17.98069758,9.94123859,-38.8291196,28.85374931,38.55154035,-39.01305029,-0.58263639,22.0591055,0.43484879,10.28985884,5.22518485,10.36631581,-39.83524621,5.31154664,23.89760778,-33.1406685,40.63089511,39.69424974,38.38868903,6.72620551,40.74019568,29.74820333,38.73345955,3:30:00,1084.019013
-5.44975604,40.5376657,15.84121377,10.52263367,23.56931766,-15.92094348,-39.97079564,-40,40.64675995,10.06990755,29.96655573,17.01707364,-39.19400034,-11.64639371,10.74121327,-29.30381129,10.67168986,-9.1174748,-4.85902902,-39.92355164,38.67562686,40.69489636,37.4662013,-38.8077401,9.78418411,36.71489682,-39.39400239,-38.85449567,41.22794486,37.84731478,-3.6776163,9.68991518,36.52997443,-21.44636647,-40,37.31014051,21.21242358,20.78744886,23.41163945,40.48845975,39.82319111,-38.98635287,40.29039243,40.40700078,39.25235615,40.52454342,38.2682941,39.80853178,35.15816279,-37.082629,10.10981638,-11.56530957,38.81052759,15.72517117,28.70664809,-21.05725237,39.87688388,-39.15688087,6.9990382,-1.42066356,40.48610399,22.30057509,-15.68681897,27.16167835,29.84085161,37.05623715,-20.21696824,-4.84825622,-6.98969214,39.81677561,38.2145925,-6.71095524,35.4246871,11.69351885,40.06108019,40.4692672,-4.16829171,18.29257846,10.46627117,-38.8291196,29.55434411,38.27284835,-39.01305029,-3.37602456,15.01280763,-20.47358315,12.36594114,6.54862525,10.7411144,-39.83524621,45.83568807,31.57766335,-28.8610725,0.96343707,12.93570122,38.75013215,16.49619779,-39.03885192,29.96655573,38.81052307,4:00:00,979.4184562
27.95833972,39.54569366,20.43172764,9.41551624,31.75003138,-34.31511281,-39.97079564,-40,-39.14490673,8.25592792,30.12802453,15.40231969,-39.19400034,-10.23554571,10.9751064,-4.13169491,8.4819278,-5.37401839,-24.81321763,39.89139636,38.82399862,-39.09677032,37.4766553,-38.8077401,8.01104127,36.62873771,-39.39400239,-38.85449567,-38.56372182,37.44063558,29.90636935,6.81721535,36.95785626,-15.74015549,-40,36.83382507,8.08941667,13.42174197,19.58865873,-39.30320693,39.84647243,40.82859513,-39.50127425,-39.3846659,39.45354991,40.54782474,38.27466558,39.8318131,35.17945079,-6.02378657,10.65875638,-10.15446157,38.12929647,12.45176427,27.11527325,-14.71726161,39.59513417,-39.15688087,7.022741,11.87597137,40.51830331,19.39631909,-6.82326957,25.45099931,31.85062417,39.40403675,-17.85626824,-36.19089622,-12.95733077,35.74486137,38.48837998,-37.90727524,38.69758898,-17.90315892,39.96387983,40.49254852,-3.59381851,19.40106966,9.47136011,-38.8291196,30.01904896,38.14038035,-39.01305029,0.50272847,24.90164479,11.54893509,11.73266862,36.96171605,-1.92855573,-39.83524621,12.02649757,29.38885116,-29.3160885,40.70483627,12.43362094,38.68790373,16.71942743,40.77609608,30.12802453,38.12912848,4:30:00,806.693158
-3.34210429,39.39692608,25.62255351,7.81342447,35.2638117,-18.12668481,39.86253768,-40,40.68842659,9.59496239,30.25506813,30.35070244,40.63933298,-15.90326171,7.55464898,-4.72341929,7.83903456,-19.73467199,6.85787056,-39.92355164,38.81136602,40.736563,37.49971706,-38.8077401,8.15147943,37.2900133,-39.39400239,-38.85449567,41.2696115,37.53100974,-32.96072737,6.26912172,37.47540015,-11.34480983,-40,39.44376063,14.99775506,28.73907836,18.58736838,40.53012639,39.86485775,-38.98635287,26.61669336,40.44866742,39.54635927,40.56621006,38.30822158,39.85019842,35.19828979,-5.17781964,11.05956678,-9.02793757,38.61477447,7.88097469,27.28619665,-9.66229025,39.96078373,40.67645245,7.04165036,-10.76966591,40.54409295,17.79270161,-15.32902219,25.92661075,33.15445053,35.91732835,-16.02684424,-5.62669622,1.84559236,35.37068081,38.60611545,-34.07127524,36.78675382,40.31954245,40.25088779,-39.32239948,-3.65454931,18.72909873,7.70853406,41.00421372,31.23713576,37.69453235,40.82028303,-4.66593172,16.90166798,28.55486036,17.73094898,38.36774405,35.81335107,39.99808711,12.45040068,18.13653114,-26.2846405,0.96343707,6.29650447,38.95996133,37.94689167,-39.03885192,30.25506813,38.61477344,5:00:00,1505.930603
0.13975696,39.73448914,26.80678605,11.27914688,35.19469848,-38.33356481,39.8776892,39.84848484,40.70357811,9.43205347,30.35160973,23.11975489,40.6544845,-14.30863771,8.76436108,28.18144196,8.85692938,15.8195783,5.28413312,-39.92355164,38.50822022,40.75171452,37.5176749,41.04074474,8.25906367,37.40162574,40.45448245,40.99398917,-38.56372182,37.60007618,12.58615114,7.48773181,37.39545074,7.28101879,39.84848484,37.11448583,29.54316053,18.81170136,18.30590141,-39.30320693,-39.96847557,-38.98635287,38.6517784,40.46381894,39.60151623,-39.26712326,38.28227358,-39.9831349,33.73102271,-4.70499164,8.1742723,-8.10694957,38.56364091,13.55735191,25.77287089,35.60575163,39.66636177,40.69160397,6.07401584,-11.74712714,40.60278879,16.97283669,-11.17971913,24.31828515,33.87292441,35.67646539,-17.49972424,-5.01369222,-36.19364875,35.18338645,38.58384107,-31.37999524,37.09527858,29.85924541,0.29629019,-39.32239948,-39.01510131,17.54161881,8.83404357,41.01936524,27.37252313,7.62902435,40.83543455,1.02888249,15.91797904,-3.33310741,10.26608154,35.05186325,11.90082973,40.01323863,6.15892281,18.77826429,-23.8334645,0.96343707,11.43359814,38.90982785,13.44448823,-39.03885192,30.35160973,38.56366075,5:30:00,1443.256426
4.66423434,39.54781916,23.83307214,33.0102329,35.27530578,-5.26126121,39.89031548,39.86111112,40.71620439,13.01208402,30.43199093,17.63482484,35.136456,-13.02757771,39.81516108,11.59630255,35.82314096,5.22040509,35.49293696,39.93755948,38.66644102,40.7643408,37.5319973,41.05337102,7.38296091,37.11602603,40.46710873,41.00661545,33.42697778,37.61200361,-23.42049756,24.96092081,37.63540655,28.17842206,39.86111112,37.55442999,5.00415813,16.06991071,16.77495334,40.55790419,-39.96847557,40.87475825,39.59770855,40.47644522,39.94827111,31.67057172,38.28472798,-39.9831349,35.83551759,-4.31133964,7.73879918,-10.75809757,38.61509171,11.34907959,24.68621609,6.80855383,39.68244937,40.70423025,6.08945184,-28.98798009,40.58280419,16.89478749,-7.42630487,23.33559915,34.51458109,35.14042455,-21.80508424,-4.50349622,-2.63256988,34.58308128,38.5579915,-29.15247524,37.30707478,11.43683468,39.99223579,-4.90499948,-38.48567331,18.38742729,37.1741625,41.03199152,27.81639496,4.74591035,14.5311256,-19.26889608,16.83998497,7.41003554,11.78022976,29.64048405,18.0982715,40.02586491,6.34686683,16.68739777,-21.9667445,0.96343707,38.21092062,38.97625021,10.23228267,40.8222592,30.43199093,38.61509039,6:00:00,2050.135274
13.38197644,39.49189576,26.78606553,6.7149903,35.23577618,-31.10629571,39.90099924,-40,38.69161727,-28.7183022,34.68682958,10.57436689,38.49251166,6.51726869,7.13830707,6.2240183,6.91114896,5.05963851,6.75975633,-39.92355164,38.73915042,40.77502456,37.54364766,-38.8077401,6.64789015,37.36430254,-39.39400239,-38.85449567,40.04217862,37.35780518,-15.17889887,5.61019292,38.05295975,-22.59000265,-40,38.02310515,5.38770107,11.04362673,18.14151241,40.56858795,-39.96847557,-38.98635287,39.61378375,40.48712898,39.65993991,37.92562514,38.28644398,-39.9831349,35.69161879,-3.97849164,7.76940118,-6.69264957,38.28282047,15.24171399,23.38321752,15.06140896,39.69436493,37.43081473,35.0038666,-4.47187717,40.62954599,17.04451509,-12.46212564,22.7598944,34.64054646,34.73857772,-17.73772555,-11.82385622,-0.63786002,34.2822314,38.65143379,-26.9150105,37.46174898,43.29920427,40.01557659,-4.47364348,-4.66254931,19.80362721,6.75203267,41.04267528,28.71597316,4.48772971,34.06523435,-7.90848483,22.82366016,14.7741345,11.43337834,21.27236965,34.40689647,40.03654867,10.9940697,16.96264461,-20.0117845,40.78417931,33.48615138,36.52778001,12.33012044,-39.03885192,34.68682958,38.28288848,6:30:00,1394.263036
13.63184102,39.77092896,32.78515302,6.3300174,35.12609938,-1.01913571,-39.97079564,-40,38.69062051,-9.93483488,36.90621722,9.85043289,38.49665606,6.07776109,4.91158563,9.11769855,7.86051737,5.29062277,5.8757216,39.96597236,38.50633302,40.79275368,37.55335974,-38.8077401,6.4062601,37.4447077,-39.39400239,-38.85449567,40.85810698,37.41703122,-38.97021749,34.87347572,37.68378506,-38.01439483,-40,37.59920507,6.36977777,13.80325775,15.08795364,40.58631707,-39.96847557,40.90317113,39.62902775,40.5048581,39.58313345,37.97875674,38.28914158,-39.9831349,35.99231194,-3.69339164,7.38256958,-6.13774957,38.33674131,9.73024846,27.67248009,10.0857323,39.79358701,37.44208993,23.8359038,2.53960223,40.61074879,17.49356509,-13.37852564,23.56235315,35.44123969,34.83942887,-25.50348424,-13.30048422,-2.22643127,34.6475562,38.5561027,-33.93935524,37.57928026,23.87735447,0.29629019,-4.10416748,-37.65542931,21.78489445,4.74251239,-38.8291196,29.76422696,4.53490831,34.07629087,-1.56542322,29.4849052,20.72864194,13.10778874,30.74877376,8.90242165,-39.83524621,13.6186044,9.77704214,-18.5228605,40.79696819,26.60542658,40.15285638,6.62768144,40.85067208,36.90621722,38.33674395,7:00:00,1320.212126
